time,Illumination(lux),year,month,day,hour
20190101:0010,0.0,2019,01,01,00
20190101:0110,0.0,2019,01,01,01
20190101:0210,0.0,2019,01,01,02
20190101:0310,0.0,2019,01,01,03
20190101:0410,0.0,2019,01,01,04
20190101:0510,0.0,2019,01,01,05
20190101:0610,0.0,2019,01,01,06
20190101:0710,0.0,2019,01,01,07
20190101:0810,2382.0,2019,01,01,08
20190101:0910,70269.6,2019,01,01,09
20190101:1010,44893.200000000004,2019,01,01,10
20190101:1110,106016.40000000001,2019,01,01,11
20190101:1210,105303.59999999999,2019,01,01,12
20190101:1310,89031.59999999999,2019,01,01,13
20190101:1410,81412.8,2019,01,01,14
20190101:1510,52573.200000000004,2019,01,01,15
20190101:1610,0.0,2019,01,01,16
20190101:1710,0.0,2019,01,01,17
20190101:1810,0.0,2019,01,01,18
20190101:1910,0.0,2019,01,01,19
20190101:2010,0.0,2019,01,01,20
20190101:2110,0.0,2019,01,01,21
20190101:2210,0.0,2019,01,01,22
20190101:2310,0.0,2019,01,01,23
20190102:0010,0.0,2019,01,02,00
20190102:0110,0.0,2019,01,02,01
20190102:0210,0.0,2019,01,02,02
20190102:0310,0.0,2019,01,02,03
20190102:0410,0.0,2019,01,02,04
20190102:0510,0.0,2019,01,02,05
20190102:0610,0.0,2019,01,02,06
20190102:0710,0.0,2019,01,02,07
20190102:0810,22191.600000000002,2019,01,02,08
20190102:0910,44052.0,2019,01,02,09
20190102:1010,90610.8,2019,01,02,10
20190102:1110,105685.20000000001,2019,01,02,11
20190102:1210,102960.0,2019,01,02,12
20190102:1310,95870.4,2019,01,02,13
20190102:1410,88650.0,2019,01,02,14
20190102:1510,62818.8,2019,01,02,15
20190102:1610,0.0,2019,01,02,16
20190102:1710,0.0,2019,01,02,17
20190102:1810,0.0,2019,01,02,18
20190102:1910,0.0,2019,01,02,19
20190102:2010,0.0,2019,01,02,20
20190102:2110,0.0,2019,01,02,21
20190102:2210,0.0,2019,01,02,22
20190102:2310,0.0,2019,01,02,23
20190103:0010,0.0,2019,01,03,00
20190103:0110,0.0,2019,01,03,01
20190103:0210,0.0,2019,01,03,02
20190103:0310,0.0,2019,01,03,03
20190103:0410,0.0,2019,01,03,04
20190103:0510,0.0,2019,01,03,05
20190103:0610,0.0,2019,01,03,06
20190103:0710,0.0,2019,01,03,07
20190103:0810,62451.59999999999,2019,01,03,08
20190103:0910,89229.6,2019,01,03,09
20190103:1010,100819.2,2019,01,03,10
20190103:1110,108794.4,2019,01,03,11
20190103:1210,104438.40000000001,2019,01,03,12
20190103:1310,100784.4,2019,01,03,13
20190103:1410,86398.8,2019,01,03,14
20190103:1510,64525.200000000004,2019,01,03,15
20190103:1610,0.0,2019,01,03,16
20190103:1710,0.0,2019,01,03,17
20190103:1810,0.0,2019,01,03,18
20190103:1910,0.0,2019,01,03,19
20190103:2010,0.0,2019,01,03,20
20190103:2110,0.0,2019,01,03,21
20190103:2210,0.0,2019,01,03,22
20190103:2310,0.0,2019,01,03,23
20190104:0010,0.0,2019,01,04,00
20190104:0110,0.0,2019,01,04,01
20190104:0210,0.0,2019,01,04,02
20190104:0310,0.0,2019,01,04,03
20190104:0410,0.0,2019,01,04,04
20190104:0510,0.0,2019,01,04,05
20190104:0610,0.0,2019,01,04,06
20190104:0710,0.0,2019,01,04,07
20190104:0810,21272.4,2019,01,04,08
20190104:0910,25036.8,2019,01,04,09
20190104:1010,62943.6,2019,01,04,10
20190104:1110,105565.20000000001,2019,01,04,11
20190104:1210,89976.0,2019,01,04,12
20190104:1310,56421.6,2019,01,04,13
20190104:1410,39888.0,2019,01,04,14
20190104:1510,42428.4,2019,01,04,15
20190104:1610,0.0,2019,01,04,16
20190104:1710,0.0,2019,01,04,17
20190104:1810,0.0,2019,01,04,18
20190104:1910,0.0,2019,01,04,19
20190104:2010,0.0,2019,01,04,20
20190104:2110,0.0,2019,01,04,21
20190104:2210,0.0,2019,01,04,22
20190104:2310,0.0,2019,01,04,23
20190105:0010,0.0,2019,01,05,00
20190105:0110,0.0,2019,01,05,01
20190105:0210,0.0,2019,01,05,02
20190105:0310,0.0,2019,01,05,03
20190105:0410,0.0,2019,01,05,04
20190105:0510,0.0,2019,01,05,05
20190105:0610,0.0,2019,01,05,06
20190105:0710,0.0,2019,01,05,07
20190105:0810,76892.4,2019,01,05,08
20190105:0910,87780.0,2019,01,05,09
20190105:1010,98072.4,2019,01,05,10
20190105:1110,102330.0,2019,01,05,11
